monthly_income,monthly_expenses,existing_debt_payment,credit_score,age,debt_to_income_ratio,max_affordable_loan
72417.85,39471.08,7285.17,718.0,44,0.646,393533.11
56543.39,26827.15,2351.93,654.0,39,0.516,488535.63
76192.21,39935.67,2233.69,634.0,66,0.553,525442.25
98075.75,64456.34,10630.42,838.0,66,0.766,408590.2
54146.17,40159.05,6253.93,636.0,24,0.857,141854.44
54146.58,34414.11,3687.97,733.0,63,0.704,352894.96
99480.32,56232.09,2621.52,711.0,28,0.592,799468.86
79185.87,61345.43,3465.72,558.0,33,0.818,276812.62
48263.14,24279.96,4648.56,626.0,53,0.599,272706.53
73564.0,51835.98,1504.51,746.0,68,0.725,402106.12
48414.56,24536.04,3905.95,669.0,39,0.587,392486.38
48356.76,29722.65,1617.08,563.0,57,0.648,277424.02
66049.06,35201.88,1941.22,712.0,54,0.562,580283.59
15000.0,8124.33,699.79,633.0,20,0.588,136550.34
16877.05,8327.0,2140.78,715.0,52,0.62,120843.51
45942.81,34536.5,4281.78,850.0,66,0.845,138494.44
34679.22,15260.98,2576.75,711.0,55,0.514,347400.14
67856.18,29786.5,14843.51,729.0,59,0.658,483726.19
37299.4,32381.44,4578.61,660.0,58,0.991,5910.16
24692.41,17202.64,1151.81,590.0,55,0.743,102089.12
96641.22,19328.24,4862.7,762.0,41,0.25,1541198.86
54355.59,25286.83,5697.47,632.0,51,0.57,392348.22
61688.21,17161.76,4612.4,662.0,52,0.353,711529.79
24381.3,9932.85,419.84,823.0,28,0.425,287784.43
46390.43,9278.09,405.68,653.0,32,0.209,641838.6
62773.06,33235.3,8694.71,777.0,31,0.668,403939.89
31225.16,11825.24,5765.49,711.0,62,0.563,231769.09
69392.45,38789.39,4556.99,636.0,34,0.625,484369.28
44984.03,13775.54,8293.35,707.0,38,0.491,406389.9
52707.66,29644.72,3424.93,623.0,45,0.627,395111.38
44957.33,21928.5,2746.25,752.0,60,0.549,390645.69
106306.95,82419.03,16515.4,780.0,55,0.931,157518.35
